BODY: Zombie_Berserker facing 0 frame 0: x 43, y 80
BODY: Zombie_Berserker facing 0 frame 1: x 43, y 80
BODY: Zombie_Berserker facing 0 frame 2: x 43, y 80
BODY: Zombie_Berserker facing 0 frame 3: x 43, y 80
BODY: Zombie_Berserker facing 1 frame 0: x 42, y 82
BODY: Zombie_Berserker facing 1 frame 1: x 42, y 82
BODY: Zombie_Berserker facing 1 frame 2: x 42, y 82
BODY: Zombie_Berserker facing 1 frame 3: x 42, y 82
BODY: Zombie_Berserker facing 2 frame 0: x 47, y 83
BODY: Zombie_Berserker facing 2 frame 1: x 47, y 83
BODY: Zombie_Berserker facing 2 frame 2: x 47, y 83
BODY: Zombie_Berserker facing 2 frame 3: x 47, y 83
BODY: Zombie_Berserker facing 3 frame 0: x 48, y 80
BODY: Zombie_Berserker facing 3 frame 1: x 48, y 80
BODY: Zombie_Berserker facing 3 frame 2: x 48, y 80
BODY: Zombie_Berserker facing 3 frame 3: x 48, y 80
EXPLODE: Zombie_Berserker facing 0 frame 0: x 43, y 3
EXPLODE: Zombie_Berserker facing 0 frame 1: x 45, y 22
EXPLODE: Zombie_Berserker facing 0 frame 2: x 47, y 35
EXPLODE: Zombie_Berserker facing 0 frame 3: x 49, y 37
EXPLODE: Zombie_Berserker facing 0 frame 4: x 51, y 26
EXPLODE: Zombie_Berserker facing 0 frame 5: x 49, y 1
EXPLODE: Zombie_Berserker facing 0 frame 6: x 47, y -24
EXPLODE: Zombie_Berserker facing 0 frame 7: x 45, y -49
EXPLODE: Zombie_Berserker facing 0 frame 8: x 43, y -74
EXPLODE: Zombie_Berserker facing 0 frame 9: x 47, y -94
EXPLODE: Zombie_Berserker facing 0 frame 10: x 47, y -94
EXPLODE: Zombie_Berserker facing 0 frame 11: x 47, y -94
EXPLODE: Zombie_Berserker facing 1 frame 0: x 42, y 5
EXPLODE: Zombie_Berserker facing 1 frame 1: x 44, y 24
EXPLODE: Zombie_Berserker facing 1 frame 2: x 46, y 37
EXPLODE: Zombie_Berserker facing 1 frame 3: x 48, y 40
EXPLODE: Zombie_Berserker facing 1 frame 4: x 50, y 29
EXPLODE: Zombie_Berserker facing 1 frame 5: x 48, y 4
EXPLODE: Zombie_Berserker facing 1 frame 6: x 46, y -21
EXPLODE: Zombie_Berserker facing 1 frame 7: x 44, y -46
EXPLODE: Zombie_Berserker facing 1 frame 8: x 42, y -71
EXPLODE: Zombie_Berserker facing 1 frame 9: x 46, y -92
EXPLODE: Zombie_Berserker facing 1 frame 10: x 46, y -92
EXPLODE: Zombie_Berserker facing 1 frame 11: x 46, y -92
EXPLODE: Zombie_Berserker facing 2 frame 0: x 47, y 6
EXPLODE: Zombie_Berserker facing 2 frame 1: x 49, y 25
EXPLODE: Zombie_Berserker facing 2 frame 2: x 51, y 38
EXPLODE: Zombie_Berserker facing 2 frame 3: x 53, y 40
EXPLODE: Zombie_Berserker facing 2 frame 4: x 55, y 29
EXPLODE: Zombie_Berserker facing 2 frame 5: x 53, y 4
EXPLODE: Zombie_Berserker facing 2 frame 6: x 51, y -21
EXPLODE: Zombie_Berserker facing 2 frame 7: x 49, y -46
EXPLODE: Zombie_Berserker facing 2 frame 8: x 47, y -71
EXPLODE: Zombie_Berserker facing 2 frame 9: x 51, y -91
EXPLODE: Zombie_Berserker facing 2 frame 10: x 51, y -91
EXPLODE: Zombie_Berserker facing 2 frame 11: x 51, y -91
EXPLODE: Zombie_Berserker facing 3 frame 0: x 48, y 3
EXPLODE: Zombie_Berserker facing 3 frame 1: x 50, y 22
EXPLODE: Zombie_Berserker facing 3 frame 2: x 52, y 35
EXPLODE: Zombie_Berserker facing 3 frame 3: x 54, y 38
EXPLODE: Zombie_Berserker facing 3 frame 4: x 56, y 27
EXPLODE: Zombie_Berserker facing 3 frame 5: x 54, y 2
EXPLODE: Zombie_Berserker facing 3 frame 6: x 52, y -23
EXPLODE: Zombie_Berserker facing 3 frame 7: x 50, y -48
EXPLODE: Zombie_Berserker facing 3 frame 8: x 48, y -73
EXPLODE: Zombie_Berserker facing 3 frame 9: x 52, y -94
EXPLODE: Zombie_Berserker facing 3 frame 10: x 52, y -94
EXPLODE: Zombie_Berserker facing 3 frame 11: x 52, y -94
BODY: Zombie_Witch facing 0 frame 0: x 43, y 80
BODY: Zombie_Witch facing 0 frame 1: x 43, y 80
BODY: Zombie_Witch facing 0 frame 2: x 43, y 80
BODY: Zombie_Witch facing 0 frame 3: x 43, y 80
BODY: Zombie_Witch facing 1 frame 0: x 42, y 82
BODY: Zombie_Witch facing 1 frame 1: x 42, y 82
BODY: Zombie_Witch facing 1 frame 2: x 42, y 82
BODY: Zombie_Witch facing 1 frame 3: x 42, y 82
BODY: Zombie_Witch facing 2 frame 0: x 47, y 83
BODY: Zombie_Witch facing 2 frame 1: x 47, y 83
BODY: Zombie_Witch facing 2 frame 2: x 47, y 83
BODY: Zombie_Witch facing 2 frame 3: x 47, y 83
BODY: Zombie_Witch facing 3 frame 0: x 48, y 80
BODY: Zombie_Witch facing 3 frame 1: x 48, y 80
BODY: Zombie_Witch facing 3 frame 2: x 48, y 80
BODY: Zombie_Witch facing 3 frame 3: x 48, y 80
EXPLODE: Zombie_Witch facing 0 frame 0: x 43, y 3
EXPLODE: Zombie_Witch facing 0 frame 1: x 45, y 22
EXPLODE: Zombie_Witch facing 0 frame 2: x 47, y 35
EXPLODE: Zombie_Witch facing 0 frame 3: x 49, y 37
EXPLODE: Zombie_Witch facing 0 frame 4: x 51, y 26
EXPLODE: Zombie_Witch facing 0 frame 5: x 49, y 1
EXPLODE: Zombie_Witch facing 0 frame 6: x 47, y -24
EXPLODE: Zombie_Witch facing 0 frame 7: x 45, y -49
EXPLODE: Zombie_Witch facing 0 frame 8: x 43, y -74
EXPLODE: Zombie_Witch facing 0 frame 9: x 47, y -94
EXPLODE: Zombie_Witch facing 0 frame 10: x 47, y -94
EXPLODE: Zombie_Witch facing 0 frame 11: x 47, y -94
EXPLODE: Zombie_Witch facing 1 frame 0: x 42, y 5
EXPLODE: Zombie_Witch facing 1 frame 1: x 44, y 24
EXPLODE: Zombie_Witch facing 1 frame 2: x 46, y 37
EXPLODE: Zombie_Witch facing 1 frame 3: x 48, y 40
EXPLODE: Zombie_Witch facing 1 frame 4: x 50, y 29
EXPLODE: Zombie_Witch facing 1 frame 5: x 48, y 4
EXPLODE: Zombie_Witch facing 1 frame 6: x 46, y -21
EXPLODE: Zombie_Witch facing 1 frame 7: x 44, y -46
EXPLODE: Zombie_Witch facing 1 frame 8: x 42, y -71
EXPLODE: Zombie_Witch facing 1 frame 9: x 46, y -92
EXPLODE: Zombie_Witch facing 1 frame 10: x 46, y -92
EXPLODE: Zombie_Witch facing 1 frame 11: x 46, y -92
EXPLODE: Zombie_Witch facing 2 frame 0: x 47, y 6
EXPLODE: Zombie_Witch facing 2 frame 1: x 49, y 25
EXPLODE: Zombie_Witch facing 2 frame 2: x 51, y 38
EXPLODE: Zombie_Witch facing 2 frame 3: x 53, y 40
EXPLODE: Zombie_Witch facing 2 frame 4: x 55, y 29
EXPLODE: Zombie_Witch facing 2 frame 5: x 53, y 4
EXPLODE: Zombie_Witch facing 2 frame 6: x 51, y -21
EXPLODE: Zombie_Witch facing 2 frame 7: x 49, y -46
EXPLODE: Zombie_Witch facing 2 frame 8: x 47, y -71
EXPLODE: Zombie_Witch facing 2 frame 9: x 51, y -91
EXPLODE: Zombie_Witch facing 2 frame 10: x 51, y -91
EXPLODE: Zombie_Witch facing 2 frame 11: x 51, y -91
EXPLODE: Zombie_Witch facing 3 frame 0: x 48, y 3
EXPLODE: Zombie_Witch facing 3 frame 1: x 50, y 22
EXPLODE: Zombie_Witch facing 3 frame 2: x 52, y 35
EXPLODE: Zombie_Witch facing 3 frame 3: x 54, y 38
EXPLODE: Zombie_Witch facing 3 frame 4: x 56, y 27
EXPLODE: Zombie_Witch facing 3 frame 5: x 54, y 2
EXPLODE: Zombie_Witch facing 3 frame 6: x 52, y -23
EXPLODE: Zombie_Witch facing 3 frame 7: x 50, y -48
EXPLODE: Zombie_Witch facing 3 frame 8: x 48, y -73
EXPLODE: Zombie_Witch facing 3 frame 9: x 52, y -94
EXPLODE: Zombie_Witch facing 3 frame 10: x 52, y -94
EXPLODE: Zombie_Witch facing 3 frame 11: x 52, y -94
BODY: Zombie_Scout facing 0 frame 0: x 43, y 80
BODY: Zombie_Scout facing 0 frame 1: x 43, y 80
BODY: Zombie_Scout facing 0 frame 2: x 43, y 80
BODY: Zombie_Scout facing 0 frame 3: x 43, y 80
BODY: Zombie_Scout facing 1 frame 0: x 42, y 82
BODY: Zombie_Scout facing 1 frame 1: x 42, y 82
BODY: Zombie_Scout facing 1 frame 2: x 42, y 82
BODY: Zombie_Scout facing 1 frame 3: x 42, y 82
BODY: Zombie_Scout facing 2 frame 0: x 47, y 83
BODY: Zombie_Scout facing 2 frame 1: x 47, y 83
BODY: Zombie_Scout facing 2 frame 2: x 47, y 83
BODY: Zombie_Scout facing 2 frame 3: x 47, y 83
BODY: Zombie_Scout facing 3 frame 0: x 48, y 80
BODY: Zombie_Scout facing 3 frame 1: x 48, y 80
BODY: Zombie_Scout facing 3 frame 2: x 48, y 80
BODY: Zombie_Scout facing 3 frame 3: x 48, y 80
EXPLODE: Zombie_Scout facing 0 frame 0: x 43, y 3
EXPLODE: Zombie_Scout facing 0 frame 1: x 45, y 22
EXPLODE: Zombie_Scout facing 0 frame 2: x 47, y 35
EXPLODE: Zombie_Scout facing 0 frame 3: x 49, y 37
EXPLODE: Zombie_Scout facing 0 frame 4: x 51, y 26
EXPLODE: Zombie_Scout facing 0 frame 5: x 49, y 1
EXPLODE: Zombie_Scout facing 0 frame 6: x 47, y -24
EXPLODE: Zombie_Scout facing 0 frame 7: x 45, y -49
EXPLODE: Zombie_Scout facing 0 frame 8: x 43, y -74
EXPLODE: Zombie_Scout facing 0 frame 9: x 47, y -94
EXPLODE: Zombie_Scout facing 0 frame 10: x 47, y -94
EXPLODE: Zombie_Scout facing 0 frame 11: x 47, y -94
EXPLODE: Zombie_Scout facing 1 frame 0: x 42, y 5
EXPLODE: Zombie_Scout facing 1 frame 1: x 44, y 24
EXPLODE: Zombie_Scout facing 1 frame 2: x 46, y 37
EXPLODE: Zombie_Scout facing 1 frame 3: x 48, y 40
EXPLODE: Zombie_Scout facing 1 frame 4: x 50, y 29
EXPLODE: Zombie_Scout facing 1 frame 5: x 48, y 4
EXPLODE: Zombie_Scout facing 1 frame 6: x 46, y -21
EXPLODE: Zombie_Scout facing 1 frame 7: x 44, y -46
EXPLODE: Zombie_Scout facing 1 frame 8: x 42, y -71
EXPLODE: Zombie_Scout facing 1 frame 9: x 46, y -92
EXPLODE: Zombie_Scout facing 1 frame 10: x 46, y -92
EXPLODE: Zombie_Scout facing 1 frame 11: x 46, y -92
EXPLODE: Zombie_Scout facing 2 frame 0: x 47, y 6
EXPLODE: Zombie_Scout facing 2 frame 1: x 49, y 25
EXPLODE: Zombie_Scout facing 2 frame 2: x 51, y 38
EXPLODE: Zombie_Scout facing 2 frame 3: x 53, y 40
