HAT: Wight_Berserker facing 0 frame 0: x 43, y 63
HAT: Wight_Berserker facing 0 frame 1: x 43, y 63
HAT: Wight_Berserker facing 0 frame 2: x 43, y 63
HAT: Wight_Berserker facing 0 frame 3: x 43, y 63
HAT: Wight_Berserker facing 1 frame 0: x 42, y 66
HAT: Wight_Berserker facing 1 frame 1: x 42, y 66
HAT: Wight_Berserker facing 1 frame 2: x 42, y 66
HAT: Wight_Berserker facing 1 frame 3: x 42, y 66
HAT: Wight_Berserker facing 2 frame 0: x 47, y 66
HAT: Wight_Berserker facing 2 frame 1: x 47, y 66
HAT: Wight_Berserker facing 2 frame 2: x 47, y 66
HAT: Wight_Berserker facing 2 frame 3: x 47, y 66
HAT: Wight_Berserker facing 3 frame 0: x 48, y 64
HAT: Wight_Berserker facing 3 frame 1: x 48, y 64
HAT: Wight_Berserker facing 3 frame 2: x 48, y 64
HAT: Wight_Berserker facing 3 frame 3: x 48, y 64
EXPLODE_HAT: Wight_Berserker facing 0 frame 0: x 43, y 63
EXPLODE_HAT: Wight_Berserker facing 0 frame 1: x 43, y 63
EXPLODE_HAT: Wight_Berserker facing 0 frame 2: x 43, y 63
EXPLODE_HAT: Wight_Berserker facing 0 frame 3: x 43, y 63
EXPLODE_HAT: Wight_Berserker facing 0 frame 4: x 43, y 63
EXPLODE_HAT: Wight_Berserker facing 0 frame 5: x 43, y 63
EXPLODE_HAT: Wight_Berserker facing 0 frame 6: x 43, y 63
EXPLODE_HAT: Wight_Berserker facing 0 frame 7: x 43, y 63
EXPLODE_HAT: Wight_Berserker facing 0 frame 8: x 43, y 63
EXPLODE_HAT: Wight_Berserker facing 0 frame 9: x 43, y 63
EXPLODE_HAT: Wight_Berserker facing 0 frame 10: x 43, y 63
EXPLODE_HAT: Wight_Berserker facing 0 frame 11: x 43, y 63
EXPLODE_HAT: Wight_Berserker facing 1 frame 0: x 42, y 66
EXPLODE_HAT: Wight_Berserker facing 1 frame 1: x 42, y 66
EXPLODE_HAT: Wight_Berserker facing 1 frame 2: x 42, y 66
EXPLODE_HAT: Wight_Berserker facing 1 frame 3: x 42, y 66
EXPLODE_HAT: Wight_Berserker facing 1 frame 4: x 42, y 66
EXPLODE_HAT: Wight_Berserker facing 1 frame 5: x 42, y 66
EXPLODE_HAT: Wight_Berserker facing 1 frame 6: x 42, y 66
EXPLODE_HAT: Wight_Berserker facing 1 frame 7: x 42, y 66
EXPLODE_HAT: Wight_Berserker facing 1 frame 8: x 42, y 66
EXPLODE_HAT: Wight_Berserker facing 1 frame 9: x 42, y 66
EXPLODE_HAT: Wight_Berserker facing 1 frame 10: x 42, y 66
EXPLODE_HAT: Wight_Berserker facing 1 frame 11: x 42, y 66
EXPLODE_HAT: Wight_Berserker facing 2 frame 0: x 47, y 66
EXPLODE_HAT: Wight_Berserker facing 2 frame 1: x 47, y 66
EXPLODE_HAT: Wight_Berserker facing 2 frame 2: x 47, y 66
EXPLODE_HAT: Wight_Berserker facing 2 frame 3: x 47, y 66
EXPLODE_HAT: Wight_Berserker facing 2 frame 4: x 47, y 66
